start	end	text	sentence_id
52.554127929687496	52.7141279296875	met	11
52.7141279296875	53.0041279296875	monkeys	11
53.0041279296875	53.414127929687496	before	11
53.4341279296875	53.6141279296875	like	11
53.5741279296875	53.664127929687496	I	11
53.704127929687495	54.0041279296875	said	11
54.0341279296875	54.1841279296875	mean	11
54.2241279296875	54.374127929687496	all	11
54.414127929687496	54.56412792968749	over	11
54.5441279296875	54.6141279296875	the	11
54.6141279296875	54.9741279296875	world	11
55.5841279296875	55.734127929687496	And	12
55.7541279296875	55.88412792968749	uh	12
55.9041279296875	55.99412792968749	you	12
55.9741279296875	56.094127929687495	know	12
56.1141279296875	56.17412792968749	I	12
56.1941279296875	56.3341279296875	know	12
56.2941279296875	56.4041279296875	a	12
56.3641279296875	56.56412792968749	little	12
56.5841279296875	56.664127929687496	bit	12
56.7241279296875	56.99412792968749	about	12
57.0141279296875	57.374127929687496	monkey	12
57.4341279296875	57.67412792968749	monkey	12
57.7141279296875	58.304127929687496	etiquette	12
58.304127929687496	58.5741279296875	and	12
58.6141279296875	58.874127929687496	showing	12
58.914127929687496	59.024127929687495	your	12
59.2941279296875	59.664127929687496	teeth	12
59.664127929687496	59.804127929687496	not	12
59.804127929687496	59.9041279296875	to	12
59.92412792968749	60.13412792968749	show	12
60.13412792968749	60.2241279296875	your	12
60.2241279296875	60.49412792968749	teeth	12
60.49412792968749	60.6441279296875	not	12
60.6441279296875	60.734127929687496	to	12
60.734127929687496	60.99412792968749	stare	12
61.0141279296875	61.1141279296875	them	12
61.1141279296875	61.204127929687495	in	12
61.204127929687495	61.2641279296875	the	12
61.2841279296875	61.804127929687496	face	12
62.2841279296875	62.56412792968749	Yeah	13
62.5441279296875	62.6141279296875	I	13
62.7941279296875	62.9441279296875	this	13
62.984127929687496	63.0841279296875	is	13
63.1041279296875	63.2841279296875	this	13
63.2841279296875	63.3641279296875	is	13
63.4041279296875	63.524127929687495	one	13
63.5441279296875	63.63412792968749	of	13
63.6141279296875	63.67412792968749	the	13
63.67412792968749	64.2041279296875	secrets	13
64.2441279296875	64.5541279296875	actually	13
64.5741279296875	64.6541279296875	of	13
64.6741279296875	64.8341279296875	being	13
64.8341279296875	64.9941279296875	able	13
65.0341279296875	65.1341279296875	to	13
65.1941279296875	65.3841279296875	get	13
65.4841279296875	65.6641279296875	get	13
65.7641279296875	65.8841279296875	get	13
65.9641279296875	66.10412792968751	good	13
66.1641279296875	66.8741279296875	photography	13
66.8741279296875	67.0241279296875	is	13
67.0241279296875	67.3341279296875	making	13
67.3341279296875	67.4041279296875	the	13
67.4241279296875	67.6641279296875	animal	13
67.7241279296875	68.2041279296875	relaxed	13
68.9171279296875	69.0271279296875	There	14
69.0471279296875	69.1571279296875	was	14
69.2171279296875	69.4771279296875	one	14
69.4971279296875	69.8771279296875	shot	14
69.8771279296875	70.2071279296875	David	14
70.2871279296875	70.57712792968749	really	14
70.5971279296875	70.8771279296875	wanted	14
70.8771279296875	70.9971279296875	to	14
71.01712792968749	71.29712792968749	get	14
72.07712792968749	72.1471279296875	a	14
72.2471279296875	72.43712792968749	full	14
72.4771279296875	72.7271279296875	face	14
72.76712792968749	73.2871279296875	portrait	14
73.4471279296875	73.57712792968749	with	14
73.57712792968749	73.6271279296875	a	14
73.6671279296875	73.9171279296875	wide	14
73.93712792968749	74.2371279296875	angle	14
74.2771279296875	74.7871279296875	lens	14
75.3571279296875	75.4571279296875	But	15
75.4971279296875	75.6671279296875	every	15
75.7071279296875	75.9271279296875	time	15
75.9271279296875	76.0071279296875	he	15
76.0071279296875	76.1671279296875	got	15
76.1671279296875	76.3971279296875	close	15
76.4171279296875	76.46712792968749	to	15
76.54712792968749	76.82712792968749	taking	15
76.8671279296875	76.9171279296875	the	15
76.9571279296875	77.40712792968749	shot	15
77.51712792968749	77.6271279296875	the	15
77.6471279296875	77.9771279296875	monkeys	15
78.01712792968749	78.1171279296875	would	15
78.1371279296875	78.2871279296875	look	15
78.3071279296875	78.6671279296875	away	15
79.5971279296875	79.7071279296875	So	16
79.7271279296875	79.9171279296875	after	16
80.0371279296875	80.1771279296875	two	16
80.2371279296875	80.4971279296875	days	16
80.5371279296875	80.6271279296875	of	16
80.6271279296875	80.82712792968749	these	16
80.82712792968749	81.0271279296875	near	16
81.0271279296875	81.6171279296875	misses	16
81.7271279296875	81.82712792968749	he	16
81.82712792968749	82.1471279296875	changed	16
82.1471279296875	82.8571279296875	strategies	16
83.5071279296875	83.6271279296875	He	17
83.6271279296875	83.7371279296875	put	17
83.7571279296875	83.8571279296875	his	17
83.8771279296875	84.15712792968749	camera	17
84.15712792968749	84.2471279296875	on	17
84.2471279296875	84.3071279296875	a	17
84.3071279296875	84.93712792968749	tripod	17
84.9771279296875	85.0971279296875	and	17
85.1171279296875	85.21712792968749	threw	17
85.21712792968749	85.3871279296875	down	17
85.4271279296875	85.57712792968749	some	17
85.5971279296875	86.1971279296875	cookies	17
86.1971279296875	86.3171279296875	to	17
86.3371279296875	86.51712792968749	try	17
86.51712792968749	86.5871279296875	to	17
86.5871279296875	86.9571279296875	entice	17
86.9571279296875	87.01712792968749	the	17
87.0371279296875	87.3571279296875	monkeys	17
87.43712792968749	87.7771279296875	over	17
88.5571279296875	88.65712792968749	He	18
88.6771279296875	88.7871279296875	was	18
88.7871279296875	89.0571279296875	hoping	18
89.0571279296875	89.1971279296875	they	18
89.0571279296875	89.1971279296875	'd	18
89.1771279296875	89.3471279296875	get	18
89.3671279296875	89.8371279296875	curious	18
89.9171279296875	90.1371279296875	about	18
90.1371279296875	90.2071279296875	the	18
90.2071279296875	90.7271279296875	camera	18
90.8771279296875	91.0071279296875	and	18
91.0871279296875	91.2871279296875	start	18
91.3071279296875	91.5671279296875	pushing	18
91.5871279296875	91.6671279296875	the	18
91.68712792968748	91.93712792968748	button	18
91.93712792968748	92.68712792968748	themselves	18
93.6071279296875	93.7271279296875	They	19
93.7871279296875	94.0271279296875	were	19
94.0871279296875	94.7271279296875	curious	19
95.46712792968748	95.5371279296875	They	20
95.5971279296875	95.6771279296875	were	20
95.71712792968748	95.96712792968748	not	20
95.9871279296875	96.2771279296875	pushing	20
96.29712792968748	96.3871279296875	the	20
96.40712792968748	96.7371279296875	button	20
98.5971279296875	98.6971279296875	So	21
98.71712792968748	98.9771279296875	David	21
99.01712792968748	99.32712792968748	attached	21
99.3671279296875	99.40712792968748	a	21
99.40712792968748	99.82712792968748	cable	21
99.8471279296875	99.9271279296875	with	21
99.96712792968748	99.9971279296875	a	21
99.9971279296875	100.2371279296875	button	21
100.2371279296875	100.3571279296875	on	21
100.3571279296875	100.43712792968748	the	21
